IsSender,StrContent,StrTime,keywords,emoji
0,Je suis Françoise🦋 de «南锡福尔摩斯🕵🏻»,2024-10-05 15:54:02,"Je, suis, Fran, oise, de, 南锡, 福尔摩斯",
0,你已添加了Françoise🦋，现在可以开始聊天了。,2024-10-05 15:54:07,"添加, Fran, oise, 聊天",
0,范艺佳,2024-10-05 15:54:21,范艺佳,
1,卢玥彤,2024-10-05 15:57:42,"卢玥, 彤",
0,Hihi,2024-10-06 13:38:15,Hihi,
0,我想问你一些关于矿业的问题可以吗,2024-10-06 13:38:35,"矿业, 问题",
0,你申的时候找中介了吗,2024-10-06 13:41:16,"申, 找, 中介",
1,找了,2024-10-06 13:41:36,找,
0,哪家呀,2024-10-06 13:41:56,哪家,
0,你学了多久法语呀,2024-10-06 13:42:07,"你学, 多久, 法语",
0,你们有学费吗,2024-10-06 13:42:28,学费,
0,感恩,2024-10-06 13:43:08,感恩,
1,学了一年多吧，在法盟上完a2,2024-10-06 13:43:35,"学了, 一年, 法盟, a2",
1,然后去考了个tef b1，就开始申了,2024-10-06 13:43:54,"考, tef, b1, 申了",
1,学费3800欧左右一年,2024-10-06 13:44:10,"学费, 欧, 左右, 一年",
0,公立大学不是没学费吗,2024-10-06 13:44:39,"公立, 大学, 学费",
1,工程师是ge，都有学费,2024-10-06 13:45:08,"工程师, ge, 学费",
1,法国人也要交2000多学费,2024-10-06 13:45:20,"法国人, 交, 学费",
1,[旺柴]我们比他们多交1000欧每年,2024-10-06 13:45:40,"多交, 欧, 每年",[旺柴]
0,你是今年刚来吗,2024-10-06 13:46:24,刚来,
1,7月份来的,2024-10-06 13:46:40,月份,
0,你下周有时间吗,2024-10-06 13:46:41,"下周, 时间",
0,一起吃个饭吗,2024-10-06 13:48:58,"一起, 吃个, 饭",
0,这是我课表,2024-10-06 13:49:53,课表,
0,我家,2024-10-06 13:49:59,我家,
0,我做饭,2024-10-06 13:50:02,做饭,
0,你想吃什么,2024-10-06 13:50:06,吃,
1,这么隆重[发呆],2024-10-06 13:50:28,隆重,[发呆]
0,隆重吗,2024-10-06 13:50:44,隆重,
1,你做饭相当于请我吃饭了[捂脸],2024-10-06 13:51:06,"做饭, 相当于, 请, 吃",[捂脸]
0,哎呀，我厨艺也一般般,2024-10-06 13:51:49,"厨艺, 一般般",
1,[旺柴]留子厨艺都很好,2024-10-06 13:52:20,"留子, 厨艺",[旺柴]
0,那吃完你洗碗,2024-10-06 13:52:27,"吃, 洗碗",
0,扯平了,2024-10-06 13:52:30,扯平,
1,好好好,2024-10-06 13:52:31,好好,
0,哈哈哈哈,2024-10-06 13:52:37,哈哈哈哈,
1,你擅长做什么我吃什么,2024-10-06 13:52:43,"擅长, 吃",
0,周二晚上或者周三晚上吧,2024-10-06 13:53:20,"周二, 周三",
0,看你哪天方便,2024-10-06 13:53:28,方便,
1,我都行，周三晚上吧,2024-10-06 13:53:53,"都行, 周三",
0, 周三晚上8点下课,2024-10-06 13:54:43,"周三, 下课",
0,我那个课表写的是开始时间,2024-10-06 13:54:56,"课表, 时间",
0,周二是7点下课,2024-10-06 13:55:13,"周二, 下课",
1,好晚啊，要不周五晚上或者周末？,2024-10-06 13:57:31,"好晚, 周五, 周末",
0,或者挑一天中午吃crous？,2024-10-06 13:58:58,"挑, 吃, crous",
0,我基本都一点下课,2024-10-06 13:59:09,"基本, 下课",
0,或者下周六周天？,2024-10-06 13:59:53,"周六, 周天",
1,周末吧，我下午一般一点半上课[捂脸],2024-10-06 14:00:21,"周末, 一点半, 上课",[捂脸]
0,"""范艺佳"" 撤回了一条消息",2024-10-06 14:00:31,"范艺佳, 撤回",
0,笑死,2024-10-06 14:00:39,笑死,
0,难怪从来没看到过你,2024-10-06 14:00:49,"难怪, 从来",
1,一点下课吃午餐，这是专门和我们错峰吗,2024-10-06 14:01:13,"下课, 吃, 午餐, 专门, 错峰",
1,我们一般在11:45-12:15之间,2024-10-06 14:01:35,之间,
0,你是毕业以后学的法语吗？还是大四一边毕业一边学的呀,2024-10-06 17:58:51,"毕业, 学, 法语, 大四, 毕业, 学",
1,大三时候学，大四申请,2024-10-06 18:37:36,"大三, 学, 大四, 申请",
1,你在替谁问[旺柴],2024-10-06 18:37:44,,[旺柴]
0,我的双胞胎姐姐,2024-10-06 19:33:05,"双胞胎, 姐姐",
0,她本来学土木的，现在不是考研吗，她跨考计算机,2024-10-06 19:33:40,"学, 土木, 考研, 跨考, 计算机",
1,你居然是双胞胎,2024-10-06 19:34:05,"居然, 双胞胎",
1,你俩一模一样吗,2024-10-06 19:34:11,一模一样,
0,不然我昨天在恐怖什么,2024-10-06 19:34:18,恐怖,
1,[捂脸][捂脸],2024-10-06 19:34:27,,"[捂脸], [捂脸]"
0,没有，不太一样,2024-10-06 19:34:28,不太,
0,昨天晚上没睡着,2024-10-06 19:34:38,"昨天晚上, 睡着",
0,太害怕了,2024-10-06 19:34:40,害怕,
1,这么恐怖,2024-10-06 19:35:05,恐怖,
0,我胆子比较小,2024-10-06 19:35:11,"胆子, 比较",
1,我走回去的时候路上没有人，总会回头看看哈哈,2024-10-06 19:35:27,"回去, 路上, 总会, 回头, 看看",
0,开灯都不敢睡,2024-10-06 19:35:40,"开灯, 不敢, 睡",
0,希望今天晚上好一点,2024-10-06 19:35:49,希望,
