IsSender,StrContent,StrTime,keywords,emoji,translated
0,"Je suis Françoise🦋 de «Nancy Holmes🕵🏻»",2024-10-05 15:54:02,"Je, suis, Fran, oise, de, Nancy, Holmes",,I am Françoise from Nancy Holmes
0,You have added Françoise🦋 and can now start chatting.,2024-10-05 15:54:07,"Add, Fran, oise, Chat",,You have added Françoise and can start chatting
0,Fan Yijia,2024-10-05 15:54:21,Fan Yijia,,Fan Yijia
1,Lu Yuetong,2024-10-05 15:57:42,"Lu Yuetong",,Lu Yuetong
0,Hihi,2024-10-06 13:38:15,Hihi,,Hihi
0,Can I ask you some questions about mining?,2024-10-06 13:38:35,"Mining, Question",,Can I ask you about mining?
0,Did you find an agent when you applied?,2024-10-06 13:41:16,"Apply, Find, Agent",,Did you find an agent while applying?
1,Yes,2024-10-06 13:41:36,Find,,Yes
0,Which one?,2024-10-06 13:41:56, which one,,Which one?
0," how long have you studied French",2024-10-06 13:42:07,"How long have you studied French",,How long have you studied French?
0," do you have tuition fees",2024-10-06 13:42:28, tuition fees,,Do you have tuition fees?
0," thank you",2024-10-06 13:43:08, thank you,,Thank you
1," I studied for more than a year, and finished A2 at Alliance Française",2024-10-06 13:43:35,"I studied for one year at Alliance Française, A2",,I studied for a year and finished A2 at Alliance Française
1," then I took the TEF B1 test and started applying",2024-10-06 13:43:54,"Took the TEF B1 test and applied",,Then I took the TEF B1 test and applied
1," the tuition fee is about 3800 euros per year",2024-10-06 13:44:10,"Tuition fee, euros, About, one year",,The tuition fee is about 3800 euros per year
0,Don't public universities have no tuition fees,2024-10-06 13:44:39,"Public, university, tuition fees",,Don't public universities have free tuition fees?
1,Engineers are GE, all have tuition fees,2024-10-06 13:45:08,"Engineers, GE, tuition fees",,Engineers at GE all have tuition fees
1,French people also have to pay more than 2000 tuition fees,2024-10-06 13:45:20,"French people, pay, tuition fees",,French people pay more than 2000 tuition fees
1,[Wang Chai] We pay 1000 euros more than them every year,2024-10-06 13:45:40,"More, euros, every year",[Wang Chai],We pay 1000 euros more every year
0,Are you new here this year,2024-10-06 13:46:24,Just arrived,,Did you just arrive this year?
1,Come in July,2024-10-06 13:46:40,month,,Came in July
